studid,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob=at_home,Mjob=health,Mjob=other,Mjob=services,Mjob=teacher,Fjob=teacher,Fjob=other,Fjob=services,Fjob=health,Fjob=at_home,reason=course,reason=other,reason=home,reason=reputation,guardian=mother,guardian=father,guardian=other,traveltime,failures,schoolsup,famsup,nursery,famrel,health,internet,activities,higher,romantic,freetime,goout,Dalc,Walc,absences,studytime,paid,bad_grade
151,0,0,15,0,0,0,3,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,3,2,2,3,24,2,0,1
152,0,1,16,0,0,1,4,4,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,5,5,1,1,0,0,3,3,1,3,0,3,0,1
153,0,1,16,0,1,1,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,1,1,0,2,2,1,1,0,0,3,3,2,2,4,1,0,1
154,0,0,15,0,0,1,4,4,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,4,5,1,1,0,0,2,2,1,1,2,3,0,1
155,0,0,16,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,3,1,1,0,0,0,4,4,3,3,4,1,0,1
156,0,1,17,0,0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,5,5,1,0,0,0,4,5,1,2,22,1,0,1
157,0,0,15,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,4,5,1,0,0,0,4,2,1,2,0,2,0,1
158,0,0,15,0,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,1,1,0,4,5,1,1,1,1,4,2,1,1,0,1,0,1
159,0,0,15,0,0,1,3,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,3,3,1,0,0,0,3,2,1,1,2,2,0,1
160,0,0,15,0,0,1,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,4,5,1,0,0,0,3,2,1,1,6,2,0,1
161,0,0,15,0,0,1,1,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,2,1,0,0,0,1,3,4,2,4,6,2,0,1
162,0,1,16,0,0,1,4,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,3,5,1,0,1,1,3,2,2,1,16,1,0,1
163,0,1,15,0,1,0,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,4,0,1,0,0,4,5,1,0,0,0,5,5,2,5,0,1,0,1
164,0,1,18,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,2,1,0,0,2,4,1,0,1,1,3,5,2,5,0,1,0,1
165,0,1,16,0,1,1,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,4,5,0,1,0,1,4,4,3,5,6,1,0,1
166,0,0,15,1,0,1,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,2,0,1,1,0,4,3,1,1,0,1,2,1,2,3,2,3,1,1
167,0,1,19,0,0,1,3,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,4,4,1,0,1,1,5,4,1,1,6,1,0,1
168,0,0,17,0,0,1,4,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,4,4,0,0,0,1,2,1,1,1,0,1,0,1
169,0,1,15,1,0,1,2,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,4,1,0,1,0,0,4,4,1,1,0,2,1,1
170,0,1,17,1,1,1,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,3,1,0,0,2,5,0,0,0,0,2,2,3,3,14,1,0,1
171,0,0,18,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,3,3,1,1,1,5,4,0,1,0,0,2,5,1,5,6,1,0,1
172,0,1,16,1,0,1,2,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,3,0,1,0,1,4,3,0,0,0,0,2,2,1,2,4,1,0,1
173,0,1,16,0,0,1,3,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,4,5,1,0,0,1,5,5,4,4,0,2,0,1
174,0,1,16,0,1,1,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,2,1,0,1,4,5,1,0,0,0,4,5,3,5,0,1,0,1
175,0,1,17,1,1,1,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,1,1,0,0,3,5,1,1,1,1,3,2,2,2,8,1,1,1
176,0,1,17,1,0,1,3,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,2,0,1,0,4,3,1,0,0,1,4,4,1,4,4,2,0,1
177,0,1,15,0,1,1,1,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,4,5,0,1,0,0,4,4,2,4,2,1,0,1
178,0,1,16,0,0,1,1,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,5,2,1,0,1,0,3,3,1,4,2,1,0,1
179,0,1,17,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,4,0,1,0,0,5,5,0,1,1,1,3,5,1,5,0,2,0,1
180,0,1,17,0,0,1,3,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,2,3,1,1,1,4,2,0,1,1,0,5,2,1,1,10,1,0,1
181,0,1,16,0,0,1,2,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,4,4,1,0,1,0,3,5,2,4,0,2,0,1
182,0,0,16,0,0,1,4,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,4,3,1,0,0,1,2,3,1,1,0,2,0,0
183,0,0,16,0,0,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,5,4,1,0,0,0,1,5,1,1,0,2,0,1
184,0,0,16,0,0,1,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,4,3,1,0,0,1,4,2,1,1,0,2,0,0
185,0,1,16,0,0,1,3,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,3,1,1,1,1,3,2,1,1,0,0,4,5,2,4,4,1,0,1
186,0,1,16,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,1,1,0,4,3,1,1,0,1,3,2,1,1,0,2,0,0
187,0,1,17,0,1,1,4,4,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,4,5,1,1,0,0,4,4,1,3,0,2,0,1
188,0,0,16,0,0,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,4,3,1,1,0,1,3,5,1,1,0,2,0,1
189,0,0,16,0,1,1,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,1,1,0,4,4,1,1,0,0,4,5,1,1,0,2,0,0
190,0,1,17,0,1,1,4,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,4,4,1,1,0,0,4,4,4,4,0,2,0,1
191,0,0,16,0,0,1,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,1,0,1,3,5,1,1,0,0,4,4,1,4,0,2,0,0
192,0,1,17,0,0,1,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,4,4,1,1,0,0,3,4,1,4,4,2,0,1
193,0,1,16,1,0,1,4,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,4,3,1,1,0,1,3,3,3,4,8,1,0,1
194,0,1,17,0,0,1,4,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,5,2,1,1,0,1,2,3,1,1,4,2,1,1
195,0,1,16,0,0,1,4,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,3,3,1,1,0,0,4,3,2,3,4,2,1,1
196,0,1,16,0,0,1,3,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,4,3,1,1,0,1,2,3,1,2,0,2,0,1
197,0,0,17,0,0,1,2,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,5,5,0,1,0,0,4,2,2,3,0,2,0,0
198,0,0,17,0,1,1,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,5,1,1,1,0,1,3,3,2,3,32,2,0,0
199,0,0,16,0,0,1,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,2,2,1,2,8,2,0,0
200,0,1,17,0,0,1,3,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,4,4,1,1,0,1,3,4,2,3,6,2,0,0
201,0,1,16,0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,3,3,1,1,0,1,3,3,1,2,0,1,0,1
202,0,1,16,0,1,1,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,4,5,1,1,0,1,2,3,1,2,0,2,0,0
203,0,0,17,0,0,0,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,3,3,1,0,0,1,3,3,1,3,10,2,0,0
204,0,1,17,1,0,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,3,3,0,0,0,0,1,3,1,5,6,2,0,1
205,0,0,16,0,0,1,2,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,4,2,1,0,0,0,3,3,1,1,6,2,0,1
206,0,0,17,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,5,3,1,1,0,0,3,3,1,1,0,2,0,1
207,0,1,17,0,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,1,0,1,4,5,1,1,0,0,4,4,4,5,16,2,0,1
208,0,1,16,1,0,1,3,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,4,5,1,1,0,0,3,2,3,4,0,1,0,1
209,0,1,16,0,0,1,2,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,5,3,1,0,0,0,3,3,1,1,0,1,0,1
210,0,0,17,0,1,1,2,4,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,4,5,1,1,0,1,3,2,1,1,8,2,0,0
211,0,1,17,0,0,1,4,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,5,5,1,0,0,0,2,3,1,2,4,1,0,0
212,0,1,16,1,1,1,3,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,3,0,1,1,0,3,3,1,1,0,0,3,4,3,5,16,1,0,1
213,0,0,17,0,0,1,4,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,2,1,1,1,0,4,2,1,0,0,0,2,4,2,3,30,1,0,0
214,0,0,16,0,1,1,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,4,3,1,0,0,0,5,2,1,2,0,2,0,1
215,0,0,16,0,0,1,4,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,4,2,1,1,0,0,3,5,1,5,2,2,0,0
216,0,0,16,0,0,1,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,4,4,0,1,0,0,4,3,1,3,4,2,0,1
217,0,0,17,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,4,1,0,0,0,0,4,4,1,3,0,2,0,0
218,0,0,17,1,0,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,5,3,1,0,0,0,3,2,1,2,21,1,0,1
219,0,0,16,1,0,1,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,1,1,1,5,5,1,1,0,0,3,5,1,1,6,4,0,1
220,0,0,17,0,0,1,3,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,4,5,1,0,0,1,4,3,3,4,14,3,1,1
221,0,0,16,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,2,4,1,0,0,0,3,3,2,2,2,2,0,1
222,0,0,16,0,0,1,4,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,3,2,1,1,4,2,0,0
223,0,0,16,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,1,1,0,4,5,0,0,0,0,3,2,1,4,2,1,0,1
224,0,0,17,1,0,1,4,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,2,0,1,1,0,4,4,1,1,0,1,4,2,1,1,0,3,0,1
225,0,0,19,0,0,1,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,4,3,1,1,0,0,3,3,1,2,4,4,0,1
226,0,1,17,0,1,1,4,4,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,5,3,1,0,0,1,3,5,4,5,15,2,0,1
227,0,0,16,0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,3,4,1,0,0,0,3,4,1,1,0,2,0,1
228,0,1,18,0,0,1,2,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,4,5,1,1,0,0,4,4,2,4,10,2,0,1
229,0,0,17,1,1,1,4,4,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,5,3,0,0,0,0,2,1,1,2,6,1,0,1
230,0,0,17,0,1,1,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,4,1,1,0,0,0,4,4,1,3,2,2,0,0
231,0,0,17,0,0,1,4,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,3,1,1,0,0,1,4,5,2,4,16,2,0,1
232,0,1,18,0,1,1,3,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,3,4,1,0,0,0,2,4,2,4,10,2,0,1
233,0,0,17,0,0,1,2,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,1,1,0,3,3,0,0,0,0,3,3,1,4,4,1,0,1
234,0,0,17,0,0,1,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,4,4,1,1,0,0,3,3,1,1,0,3,0,1
235,0,0,17,1,0,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,1,1,0,4,5,1,1,0,0,2,5,1,2,0,2,0,1
236,0,0,17,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,4,5,0,1,0,1,3,4,1,1,12,3,0,1
237,0,0,16,0,0,1,2,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,3,1,0,0,0,3,1,1,1,0,2,0,0
238,0,1,18,0,0,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,3,1,1,0,3,4,1,0,0,0,3,3,5,5,9,2,1,1
239,0,0,16,0,0,1,4,4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,5,5,1,1,0,0,3,2,1,1,4,3,0,0
240,0,0,18,1,0,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,5,4,1,1,0,1,3,3,1,1,4,2,0,1
241,0,0,17,0,0,1,3,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,5,3,1,1,0,0,3,4,1,3,2,2,0,0
242,0,1,17,0,1,1,2,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,5,3,1,0,0,0,3,3,1,3,0,2,0,1
243,0,1,18,0,1,1,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4,0,0,1,0,4,3,1,1,0,1,3,2,4,5,2,2,0,1
244,0,0,17,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,3,3,1,1,0,1,2,3,1,2,0,3,0,0
245,0,0,17,0,1,1,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,3,3,1,1,0,1,2,3,1,2,0,2,0,1
246,0,1,17,1,0,1,2,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,1,1,0,4,1,1,1,0,0,5,2,1,1,0,2,0,1
247,0,1,17,0,0,1,4,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,4,2,1,1,0,1,5,5,1,3,0,2,0,1
248,0,1,16,0,0,1,4,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,4,1,1,1,0,0,2,4,2,4,0,2,0,0
249,0,1,16,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,1,1,0,3,5,1,0,0,0,4,2,1,1,2,2,0,1
250,0,1,16,0,0,1,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,5,2,1,1,0,1,3,3,1,3,0,3,0,1
251,0,1,17,0,1,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,4,4,1,1,0,1,4,2,5,5,0,2,0,0
252,0,0,16,0,0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,4,5,1,0,0,1,5,2,1,1,4,1,0,1
253,0,0,16,0,0,0,4,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,5,5,1,1,0,1,3,3,1,2,0,2,0,1
254,0,0,18,0,1,0,2,4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,2,1,1,1,0,4,3,1,0,0,0,3,3,1,1,18,2,0,1
255,0,0,18,0,1,1,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,5,5,1,0,0,1,3,1,1,1,16,2,0,1
256,0,0,18,0,0,1,3,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,1,1,0,0,4,3,1,0,1,0,1,1,1,1,14,1,0,1
257,0,1,18,0,0,1,2,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,4,1,1,1,1,1,4,3,2,2,26,1,0,1
258,0,1,17,0,0,1,4,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,4,5,1,1,0,0,2,1,1,2,6,1,0,1
259,0,0,17,0,0,1,3,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,5,3,0,1,0,0,4,2,1,1,4,2,0,0
260,0,0,17,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,4,4,1,1,0,1,3,2,1,2,10,3,0,1
261,0,0,16,0,0,1,1,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,5,5,1,0,1,0,3,5,1,2,4,1,0,1
262,0,0,17,1,0,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3,0,1,0,0,2,3,0,1,0,0,1,1,1,1,2,2,0,1
263,0,0,17,1,1,0,1,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,1,1,1,0,5,5,1,0,0,0,5,4,1,1,14,1,0,1
264,0,1,18,0,0,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,5,2,1,0,1,0,5,4,3,5,16,2,0,1
265,0,0,17,0,1,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,3,1,1,0,1,0,1,2,1,1,8,1,0,1
266,0,0,17,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,4,5,1,1,0,0,3,3,1,3,4,3,0,0
267,0,0,17,0,1,0,4,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,4,4,0,1,0,0,3,2,1,1,4,2,0,0
268,0,1,17,0,1,1,4,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,2,5,1,1,0,1,5,5,1,4,8,2,0,0
269,0,1,17,1,1,0,4,4,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,2,0,1,1,0,3,4,1,0,0,0,3,3,2,3,0,2,0,1
270,0,1,16,0,1,1,4,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,5,3,1,1,0,0,4,5,1,1,7,1,0,0
271,0,1,16,0,0,1,4,4,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,5,5,1,1,0,0,3,2,1,2,4,1,1,0
272,0,0,17,0,0,1,4,4,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,5,5,1,0,0,1,3,1,1,4,2,2,1,1
273,0,1,17,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,1,0,1,4,1,1,0,0,1,3,3,1,1,2,3,0,0
274,0,0,17,0,0,1,3,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,1,1,0,4,5,1,0,0,1,2,2,2,3,10,3,0,1
275,0,0,17,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,4,4,0,0,0,1,3,2,1,1,10,2,0,1
276,0,0,18,0,0,1,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,1,1,1,4,3,1,0,0,1,4,4,1,1,10,3,0,1
277,0,1,16,0,0,1,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,3,0,1,0,0,4,4,1,0,0,0,3,3,1,1,7,1,0,0
278,0,0,17,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,4,5,0,0,0,0,3,4,1,2,4,2,0,1
279,0,1,17,0,0,1,2,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,5,2,1,0,0,0,2,2,1,1,2,1,0,1
280,0,1,22,0,0,1,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,3,1,0,1,5,1,1,0,1,1,4,5,5,5,12,1,0,1
281,0,1,18,1,1,1,3,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,4,5,1,0,0,1,3,3,1,3,8,2,0,1
282,0,1,16,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,4,5,1,0,0,0,3,2,2,4,0,1,0,1
283,0,1,18,0,0,1,3,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,4,5,1,0,1,0,4,5,2,4,8,1,0,1
284,0,1,16,0,0,1,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,1,0,1,1,5,2,1,0,0,0,3,3,1,3,4,2,0,1
285,0,1,18,0,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,2,1,0,1,3,5,1,0,1,0,2,5,2,5,4,1,0,1
286,0,1,16,1,0,1,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,1,0,1,3,3,0,1,0,0,3,2,1,3,2,1,0,1
287,0,1,17,1,0,1,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,4,5,1,0,0,0,4,2,2,4,0,1,0,1
288,0,1,17,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,1,1,1,0,4,5,1,1,0,0,4,4,1,2,0,1,0,1
289,0,0,18,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,4,5,1,0,0,1,3,4,1,3,2,2,0,1
290,0,0,17,0,1,1,4,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,4,4,1,1,0,0,2,3,1,1,2,4,0,0
291,0,0,19,0,0,1,2,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,4,5,1,0,0,0,3,3,1,1,0,2,0,1
292,0,1,18,0,1,1,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,3,1,1,0,1,4,5,1,1,1,0,4,5,4,4,4,2,0,1
293,0,0,17,1,0,1,4,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,4,5,1,1,0,0,3,4,1,3,2,3,0,0
294,0,0,18,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,4,3,0,0,0,0,4,3,2,3,4,3,0,0
295,0,0,18,1,0,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,3,5,0,0,0,0,2,3,1,1,4,2,0,1
296,0,1,19,0,1,0,4,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,4,1,1,0,0,0,3,1,1,1,4,2,0,0
297,0,1,18,0,0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,5,4,1,1,0,0,2,4,1,2,2,2,0,0
298,0,1,17,1,0,1,2,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,1,0,1,5,4,0,0,1,0,2,2,1,1,0,1,0,1
299,0,0,17,0,1,1,2,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,3,2,1,1,0,1,4,1,1,1,2,4,0,1
300,0,0,20,1,0,1,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,1,1,0,1,2,1,1,1,1,2,3,1,2,8,2,1,1
301,0,0,18,0,0,1,4,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,3,2,1,0,0,1,1,2,1,3,2,2,0,0
302,0,1,18,0,0,1,4,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,4,3,1,0,0,0,3,2,1,1,2,2,0,1
303,0,1,18,1,0,1,3,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,5,3,0,1,0,0,3,2,1,1,2,3,0,1
